"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$148,461,738,087","3.26%","10.57","2.67","1.45","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$144,572,180,454","2.12%","35.63","2.23","2.06","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$141,412,424,377","2.08%","21.09","6.24","12.08","Analyze"
"HON","Honeywell International Inc","Common stocks","Large cap","Industrials","$132,872,260,607","1.97%","25.63","3.87","7.33","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$131,114,031,556","2.98%","23.00","4.98","143.70","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$128,511,319,236","4.52%","23.26","2.39","6.74","Analyze"
"MDT","Medtronic Plc","Common stocks","Large cap","Health Care","$128,103,576,107","2.62%","26.34","4.03","2.46","Analyze"
"SCHW","Charles Schwab Corporation","Common stocks","Large cap","Financials","$127,890,180,444","1.11%","23.36","6.92","2.55","Analyze"
"AXP","American Express","Common stocks","Large cap","Financials","$125,776,127,632","1.08%","16.27","2.80","5.68","Analyze"
"LOW","Lowes Companies Inc","Common stocks","Large cap","Consumer Discretionary","$125,761,379,879","1.62%","14.85","1.32","-18.18","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$125,518,504,563","2.18%","15.72","0.42","1.70","Analyze"
"AMT","American Tower Corporation","REITs","Large cap","Real Estate","$122,009,045,676","1.99%","46.10","12.38","22.65","Analyze"
"ANTM","Anthem Inc","Common stocks","Large cap","Health Care","$119,920,391,268","0.93%","19.32","0.83","3.35","Analyze"
"CAT","Caterpillar Inc","Common stocks","Large cap","Industrials","$119,273,777,234","1.97%","18.65","2.26","7.10","Analyze"
"LMT","Lockheed Martin Corp","Common stocks","Large cap","Industrials","$117,994,493,341","2.47%","19.55","1.79","12.14","Analyze"
"SPGI","S&P Global Inc","Common stocks","Large cap","Financials","$115,103,736,000","0.93%","33.41","13.28","2.95","Analyze"
"INTU","Intuit Inc","Common stocks","Large cap","Information Technology","$112,076,180,378","0.64%","54.11","9.82","7.54","Analyze"
"DE","Deere & Company","Common stocks","Large cap","Industrials","$110,918,241,726","1.11%","19.92","2.52","5.95","Analyze"
"GS","Goldman Sachs Group Inc","Common stocks","Large cap","Financials","$110,078,128,740","2.49%","6.05","2.06","0.96","Analyze"
"BLK","Blackrock Inc","Common stocks","Large cap","Financials","$102,316,208,232","2.64%","16.77","5.20","2.75","Analyze"
"C","Citigroup Inc","Common stocks","Large cap","Financials","$101,817,983,108","3.92%","6.01","1.42","0.52","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$100,529,446,236","0.00%","28.65","3.89","4.98","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$100,043,936,855","1.06%","14.89","4.03","8.69","Analyze"
"NOW","Servicenow Inc","Common stocks","Large cap","Information Technology","$98,734,510,280","0.00%","454.53","15.78","25.40","Analyze"
"MO","Altria Group Inc","Common stocks","Large cap","Consumer Staples","$97,027,764,153","6.47%","32.52","4.61","-55.56","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$96,071,749,885","0.87%","18.74","5.30","10.23","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$95,354,968,809","0.00%","181.77","7.62","21.61","Analyze"
"PLD","Prologis, Inc","REITs","Large cap","Real Estate","$94,657,941,290","2.08%","25.83","19.60","2.81","Analyze"
"ADP","Automatic Data Processing Inc","Common stocks","Large cap","Information Technology","$91,699,677,336","1.78%","32.45","5.81","22.15","Analyze"
"SBUX","Starbucks Corp","Common stocks","Large cap","Consumer Discretionary","$90,582,162,000","2.41%","20.68","2.89","-10.40","Analyze"
"CB","Chubb Ltd","Common stocks","Large cap","Financials","$89,881,892,706","1.50%","11.02","2.21","1.60","Analyze"
"NFLX","Netflix Inc","Common stocks","Large cap","Communication Services","$87,095,467,877","0.00%","17.52","2.86","5.00","Analyze"
"MDLZ","Mondelez International Inc","Common stocks","Large cap","Consumer Staples","$86,426,030,818","2.17%","20.87","2.96","3.11","Analyze"
"SYK","Stryker Corp","Common stocks","Large cap","Health Care","$86,275,853,352","1.16%","43.30","4.95","5.80","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$85,908,342,248","1.74%","52.84","8.81","2.34","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$85,543,642,555","3.50%","23.45","3.28","1.75","Analyze"
"GE","General Electric","Common stocks","Large cap","Industrials","$84,751,203,306","0.42%","-17.25","1.14","2.20","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$83,202,094,312","4.06%","14.94","2.35","5.60","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$82,650,028,175","1.61%","19.53","3.69","3.97","Analyze"
"BA","Boeing","Common stocks","Large cap","Industrials","$82,379,373,387","0.00%","-17.06","1.35","-5.41","Analyze"
"CI","Cigna Corp","Common stocks","Large cap","Health Care","$81,602,731,854","1.20%","15.45","0.46","1.81","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$81,364,265,966","0.00%","16.04","1.55","6.72","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$80,482,206,292","0.67%","39.45","10.20","17.56","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$80,061,234,261","3.48%","35.12","3.36","2.46","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$80,015,593,646","3.00%","55.19","12.13","10.02","Analyze"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$79,292,330,118","1.35%","24.65","3.91","7.28","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$78,669,180,076","0.43%","8.76","2.52","1.65","Analyze"
"GILD","Gilead Sciences Inc","Common stocks","Large cap","Health Care","$77,805,063,179","4.53%","17.37","2.83","3.94","Analyze"
"ISRG","Intuitive Surgical Inc","Common stocks","Large cap","Health Care","$77,688,957,676","0.00%","39.10","13.15","6.58","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$77,629,922,420","3.40%","11.32","3.40","1.53","Analyze"
"NOC","Northrop Grumman Corp","Common stocks","Large cap","Industrials","$74,436,202,593","1.34%","13.27","2.11","5.76","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$74,038,406,264","2.24%","12.35","0.69","6.71","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$73,751,920,815","1.28%","40.18","3.68","3.00","Analyze"
"TJX","TJX Companies, Inc.","Common stocks","Large cap","Consumer Discretionary","$72,325,086,144","1.73%","23.19","1.38","11.92","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$71,653,600,390","1.84%","26.48","14.98","2.63","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$71,613,019,839","1.12%","15.99","4.28","12.05","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$71,582,557,768","3.00%","14.25","3.64","1.46","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$71,543,913,089","0.84%","39.50","3.53","32.28","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$70,226,240,464","1.58%","32.85","1.46","4.16","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$69,880,714,857","1.20%","18.00","5.33","5.37","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$68,542,597,548","0.00%","28.37","8.62","6.37","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$67,443,647,479","1.09%","16.46","3.22","2.92","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$67,116,396,386","3.10%","22.68","4.67","2.31","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$66,743,614,490","1.16%","33.06","2.82","4.51","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$66,013,060,519","2.29%","32.27","3.78","205.47","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$65,904,987,852","3.83%","10.99","2.98","1.02","Analyze"
"REGN","Regeneron Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$65,792,322,073","0.00%","8.36","3.99","3.33","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$65,577,797,529","1.54%","34.77","3.55","9.29","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$65,391,919,511","0.00%","38.85","3.94","2.11","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$65,237,864,257","0.23%","10.10","2.25","2.65","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$64,833,082,649","2.29%","24.37","4.37","18.28","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$64,314,211,151","1.55%","70.19","4.55","1.36","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$63,844,405,939","2.08%","19.95","1.66","3.63","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$63,483,228,824","0.00%","2.92","0.13","0.47","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$63,014,331,185","1.71%","128.12","9.30","5.75","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$62,145,047,843","1.89%","19.58","5.44","4.42","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$61,999,444,702","0.70%","12.29","2.52","4.23","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$60,822,559,707","0.60%","24.66","7.33","3.42","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$60,521,114,808","0.97%","9.01","1.01","-30.16","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$59,943,084,868","0.00%","39.30","11.19","10.35","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$59,179,435,830","2.10%","5.68","0.44","2.56","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$58,131,466,337","0.17%","39.00","3.69","32.73","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$57,757,868,333","1.34%","11.18","0.63","2.34","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$57,745,059,115","0.77%","42.11","4.68","48.83","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$57,095,543,036","2.36%","25.88","5.01","4.14","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$56,609,837,794","2.46%","30.96","15.63","5.98","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$56,598,891,935","2.78%","23.34","0.43","3.15","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$56,402,640,000","2.20%","26.16","2.85","3.49","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$56,306,738,917","1.35%","13.96","6.12","2.51","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$56,296,513,817","0.00%","75.14","4.63","3.38","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$56,175,719,828","0.65%","18.75","0.65","3.71","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$55,686,332,380","0.00%","3.95","2.46","3.39","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$55,165,254,268","0.00%","6.32","0.42","0.90","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$54,387,212,331","2.87%","8.25","0.82","1.02","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$54,093,228,211","1.15%","17.40","6.25","13.43","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$53,857,166,293","3.20%","51.44","4.35","2.53","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$53,608,500,000","2.25%","18.96","2.84","5.14","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$53,152,372,735","2.22%","4.69","0.39","1.21","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$52,769,996,774","0.78%","22.17","1.55","8.49","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$52,495,785,000","0.93%","27.02","8.55","22.30","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$52,412,318,603","2.98%","20.02","3.06","954.67","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$51,006,224,757","3.45%","20.75","0.40","2.42","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$50,853,000,000","2.64%","14.36","3.64","5.54","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$50,656,493,334","3.40%","51.87","3.78","8.91","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$50,295,088,169","0.00%","49.98","10.57","9.06","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$49,748,995,360","1.73%","16.39","0.55","2.12","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$49,398,606,446","1.90%","4.56","1.57","0.89","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$48,833,790,543","4.11%","7.12","0.84","2.60","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$48,685,992,798","0.00%","9.77","0.37","1.79","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$48,509,960,460","1.16%","44.00","3.70","6.89","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$48,390,779,744","0.00%","35.47","8.32","7.01","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$47,671,740,905","0.00%","76.84","13.29","225.18","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$47,585,649,796","2.49%","18.55","1.50","2.05","Analyze"
"NXPI","NXP Semiconductors Nv","Common stocks","Large cap","Information Technology","$47,264,287,848","1.40%","31.45","4.06","7.33","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$46,731,404,428","2.15%","4.83","0.88","0.84","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$46,502,071,605","1.76%","25.65","2.68","2.47","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$46,176,748,822","0.59%","41.97","0.17","-20.58","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$46,039,783,235","1.25%","91.81","5.22","3.38","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$45,565,813,993","4.33%","31.38","4.17","4.07","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$45,462,919,797","2.18%","33.66","10.11","13.93","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$45,322,981,963","0.00%","90.57","10.33","53.01","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$45,035,120,033","0.56%","15.73","7.40","3.35","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$44,906,796,642","4.29%","37.05","1.75","0.91","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$44,873,281,270","5.37%","43.83","2.86","1.49","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$44,666,764,000","0.90%","26.20","2.78","1.76","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$44,433,734,017","2.59%","25.39","2.25","63.13","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$44,201,410,110","0.00%","60.13","14.01","16.21","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$44,003,300,220","1.70%","19.14","4.71","10.60","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$43,162,791,132","2.20%","43.37","0.66","32.81","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$42,546,119,835","0.97%","25.34","3.72","6.65","Analyze"
"TEL","TE Connectivity Ltd","Common stocks","Large cap","Information Technology","$42,507,613,679","1.56%","17.10","2.74","4.09","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$42,468,298,134","1.97%","10.92","1.20","1.68","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$42,089,303,116","1.35%","31.76","3.61","4.76","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$41,919,681,805","0.00%","19.45","3.10","-127.11","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$41,790,918,138","0.00%","39.51","2.98","7.20","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$41,663,964,864","0.00%","17.47","2.67","-13.41","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$41,414,121,372","2.93%","18.10","2.22","4.13","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$40,892,328,224","0.00%","33.52","3.26","3.48","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$40,691,046,848","2.46%","25.49","2.98","2.62","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$40,665,966,130","0.95%","34.21","5.34","12.54","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$40,610,607,193","2.23%","6.24","0.63","-17.48","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$40,295,054,536","4.27%","88.46","16.48","1.61","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$40,196,662,670","0.10%","54.84","6.06","-57.35","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$39,558,751,826","0.70%","124.16","7.82","2.27","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$39,498,750,000","4.39%","8.26","0.59","0.91","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$39,408,951,076","0.88%","55.50","5.00","6.37","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$39,229,887,677","0.36%","50.01","5.61","5.17","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$39,007,843,200","0.95%","121.17","1.89","2.36","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$38,942,626,299","1.71%","30.49","5.71","6.65","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$38,504,323,151","1.38%","17.59","2.03","3.23","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$38,498,698,406","0.00%","56.83","4.92","18.22","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$38,405,148,357","3.44%","28.06","8.60","2.18","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$38,261,789,225","2.22%","31.23","1.55","2.33","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$38,124,109,187","0.63%","31.95","5.92","7.47","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$38,108,774,068","2.45%","9.45","1.79","1.30","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$37,596,922,384","1.60%","34.44","0.00","3.97","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$37,479,130,603","4.33%","5.91","0.28","1.39","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$37,269,644,271","0.80%","24.75","2.31","5.47","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$37,118,329,266","2.93%","11.04","2.37","0.90","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$37,014,459,259","1.35%","29.29","4.47","-117.52","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$36,505,829,155","1.55%","34.58","2.70","4.03","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$36,393,999,785","2.48%","10.35","0.72","1.57","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$36,366,471,682","0.73%","35.80","4.18","1.44","Analyze"
