,Bollinger_three,adx_strat,Alligator_strategy,MACD_CMF_ATR_Strategy,TEMA_MACD_strategy,Tema20_tema60
CHPT,10.176,0.0,-11.648,,66.69,0.0
TTCF,-38.904,0.497,-36.325,,32.895,0.0
GOEV,42.403,0.0,-41.469,,-41.65,0.0
RIDE,42.635,-1.428,-43.203,,-37.036,0.0
MIMO,10.107,0.0,16.561,,-32.587,0.0
JKS,-14.111,0.0,-69.995,-45.547,234.043,108.321
SUNW,223.192,0.0,24.963,92.262,311.49,-31.468
CCL,-18.832,0.0,19.194,-35.72,-61.457,-4.695
GPMT,-34.218,32.975,76.843,-33.001,-0.719,0.0
TGI,-48.423,0.0,-8.91,-79.342,192.891,0.0
NYMT,24.537,0.0,-47.678,-30.906,17.559,0.0
HT,15.785,0.0,-14.66,-54.504,-1.454,5.408
CHEF,89.711,3.231,-35.18,-18.905,-54.774,0.0
LPI,-17.037,0.0,-970.267,66.468,421.821,0.0
IVR,1.712,-14.314,51.769,0.233,-51.367,4.469
GIII,-20.591,4.258,-28.392,-69.838,-19.433,2.995
PUMP,-17.598,0.0,56.693,48.975,15.609,0.0
RWT,,,,,,
PINS,15.797,0.0,64.566,35.766,-1.402,0.0
PTON,31.266,-0.097,31.811,88.375,0.711,0.0
PLTR,-85.154,0.0,25.67,-12.504,-28.918,0.0
OKTA,12.647,-8.743,-6.052,-14.341,-28.113,-3.133
NXPI,-7.012,12.939,24.581,-8.245,-39.253,7.784
PDD,-8.588,0.0,15.682,-15.273,22.946,-18.578
DOCU,-13.543,-41.552,14.434,6.74,-14.308,137.709
SQ,-14.361,8.343,73.652,-2.1,-0.804,0.0
COIN,3.643,0.0,8.246,-21.204,25.554,0.0
TWLO,-8.738,-1.253,19.733,-42.84,31.073,-26.213
ZM,-43.646,-10.724,40.461,82.08,16.442,0.0
PRLB,25.664,0.0,54.075,-25.318,64.914,0.0
BBBY,-30.911,0.0,-16.216,56.781,128.599,7.009
ALGN,-6.937,-18.413,-3.788,72.755,-46.315,-9.471
CENX,-60.502,0.0,-0.901,-35.155,11.276,0.0
PTEN,-40.459,0.0,67.954,33.884,104.27,-11.418
PAA,-14.47,0.0,-39.748,-27.774,53.545,0.0
VNOM,-46.405,0.0,-52.308,-12.678,1.005,0.0
BFLY,3.556,0.0,19.241,,-7.331,-28.079
MILE,32.363,0.0,18.763,,32.626,-50.069
HIMS,-63.426,5.316,-30.796,,-24.338,2.794
ZG,-29.695,-3.754,1.253,78.524,22.616,0.0
LCID,-82.0,0.0,-46.424,3.498,76.02,106.488
ZNGA,21.272,0.0,10.906,-20.719,-9.238,0.0
SPCE,-51.088,0.0,-21.731,,25.991,0.0
DKNG,71.988,0.0,18.13,,-33.613,0.0
BYND,-25.556,-5.68,-53.348,-6.808,-42.179,0.0
VVPR,83.415,0.0,69.851,31.862,46.813,0.0
AR,-64.351,0.0,33.012,-30.739,-39.385,0.0
RBLX,-10.815,0.0,-3.714,-1.213,13.161,-2.285
ADSK,-6.803,15.321,-18.581,7.515,28.318,33.557
DDD,-12.04,0.0,-40.89,-10.048,155.316,0.0
BLNK,1438.703,4.687,-3.386,-46.173,44.957,0.0
VLDR,18.053,1.508,-5.939,,-35.154,61.299
PLTK,15.1,0.0,7.602,-18.262,-40.819,-2.839
ETSY,-7.663,-24.057,-99.644,-5.93,66.012,-17.802
AMD,-28.81,0.304,5.527,-31.188,73.902,13.188
NFLX,-4.28,-16.227,1.908,-30.881,-17.313,0.0
GP,-51.044,0.0,5.708,-69.984,-10.827,-8.233
ISUN,-91.767,-42.395,7.413,,-26.425,0.0
LMND,-30.289,-15.178,20.313,54.683,-1.513,0.0
FVRR,569.012,0.0,75.939,-14.951,72.416,94.792
ABNB,6.842,7.726,9.575,-8.268,-17.938,-12.629
WIX,-46.499,12.061,-19.211,-13.326,36.366,-10.141
FROG,33.808,0.0,6.549,-36.288,-27.606,0.0
SEDG,37.692,7.315,33.669,-32.153,32.302,18.975
TDOC,-41.366,28.15,28.187,16.854,-52.81,0.0
SNOW,6.459,-15.012,-0.105,47.082,20.403,-4.377
JMIA,-90.573,8.716,17.136,46.573,-8.678,52.082
IDEX,-90.376,0.0,63.936,67.274,-0.728,0.0
TKAT,109.138,79.727,20.102,,498.579,-18.307
LYFT,-19.085,3.922,-36.799,-7.874,-30.267,0.0
UPST,-42.199,0.0,8.195,-33.936,-32.401,0.0
KOSS,51.033,0.0,28.905,,-47.845,557.625
SNDL,449.768,0.0,-76.276,-73.961,-41.633,0.0
PEP,17.43,2.514,5.501,-2.034,11.073,-0.653
PLBY,42.008,0.0,-48.952,,3.045,-18.062
AIG,-6.765,0.296,14.116,-12.369,-3.581,0.0
ALF,42.526,0.0,4.142,89.049,-63.166,0.0
CLF,3.826,0.0,-7.499,-2.402,0.657,61.714
NOK,14.863,0.0,-9.14,-11.758,39.28,4.744
BB,-57.724,0.0,1.622,-38.039,92.442,0.0
SKLZ,-11.68,0.0,-0.852,-9.686,11.311,-14.868
BABA,1.981,14.422,5.422,-27.344,-40.641,4.257
BAC,-8.894,1.895,3.905,-27.371,17.358,6.753
BAND,0.623,0.0,-17.786,39.501,-1.372,-2.08
CAT,-9.07,4.308,-19.686,-1.465,17.817,0.0
MKFG,23.573,0.0,22.077,,7.929,8.191
VLD,-16.619,0.0,-10.828,-0.279,-12.363,0.0
AVAV,-51.38,-20.461,-24.906,84.057,10.053,20.294
DASH,7.136,0.0,9.27,10.163,26.803,0.0
LI,-73.914,-0.642,-70.944,-4.107,-29.509,0.0
RIOT,-77.399,0.0,148.431,123.808,79.877,0.0
CRTX,-32.063,0.0,10.417,-35.519,179.343,-21.859
HRTX,43.027,0.0,24.021,17.985,10.576,0.0
GOGO,-49.548,0.0,58.289,-10.556,318.8,97.027
BLDR,-0.388,0.0,24.15,18.639,-13.089,0.0
NVAX,90.369,-7.319,84.226,-59.083,261.011,17.193
SPOT,-2.268,-6.115,-3.366,25.123,-7.852,0.0
TWTR,17.524,1.215,-8.778,3.785,28.22,-27.045
ZIM,-10.562,0.0,8.622,-3.134,12.691,-9.715
UPWK,-46.228,0.0,-87.07,74.593,-18.302,-11.42
EBAY,4.075,1.475,-4.939,-2.615,18.874,-5.981
GEVO,144.641,0.0,4.031,0.279,17.069,-23.914
JD,6.437,-3.055,46.583,-18.902,-20.026,0.0
MARA,-50.897,27.436,-47.255,149.211,200.875,-2.857
ROKU,-47.314,-11.74,34.733,60.421,106.555,0.0
SDGR,-29.16,0.0,-16.946,84.204,32.096,0.0
UBER,5.213,-9.774,-36.124,16.232,35.581,0.0
CWH,-88.551,0.0,-9.406,31.538,-13.861,0.0
HIBB,7.838,0.0,-21.741,-1.15,0.149,-4.822
MLI,-14.963,0.0,4.544,9.199,12.634,0.0
PYPL,0.486,4.691,9.198,48.953,18.336,1.537
AAPL,-9.608,53.236,5.497,-4.622,50.751,7.396
CSCO,6.46,9.586,-19.345,3.796,-10.019,0.0
QCOM,-0.642,-1.003,37.915,-4.49,35.256,0.0
TMST,28.681,0.0,53.958,-9.412,-11.263,0.0
PLCE,-51.627,0.0,-15.348,15.299,53.957,0.0
M,-44.543,0.0,47.963,4.673,-23.126,0.0
GPS,29.115,1.804,6.108,-21.842,-28.602,0.0
CPRI,-77.505,102.897,0.832,-19.917,27.209,0.0
RAD,23.247,0.0,-20.275,-55.683,66.757,-17.8
DWAC,-2.479,0.0,,-14.304,16.485,
ADI,0.251,10.599,29.138,-8.344,-13.358,2.13
REGN,-3.989,16.271,-3.852,-15.356,35.459,12.705
APD,-34.98,-31.053,11.086,-21.749,-3.13,-1.78
CLX,18.494,-25.94,15.822,-19.207,-12.937,0.0
ANY,-85.294,0.0,24.01,120.866,-16.871,-23.037
SENS,93.43,0.0,-71.764,-24.946,112.927,-7.158
BILL,66.887,0.0,-18.992,-37.026,189.113,3.567
ETN,7.301,0.0,-9.272,-6.628,23.863,0.0
ATVI,13.24,-9.311,12.801,26.883,10.501,1.726
OSTK,-99.861,0.0,-73.087,-53.953,137.05,0.0
NKLA,142.931,11.263,-38.174,,19.15,12.501
MBT,8.29,0.0,-2.317,,72.968,0.0
HHR,7.008,-6.343,28.375,,110.627,-10.89
MNDY,-29.859,-20.723,,-14.414,6.14,19.12
LVS,15.166,0.0,23.835,-5.741,31.7,-7.574
SF,-37.341,-17.652,-0.739,-9.96,2.564,-2.177
SHOP,14.013,34.136,54.585,12.97,9.189,-5.942
SE,-92.692,6.843,91.815,50.402,-29.82,0.0
MELI,-10.291,46.032,49.136,-45.127,24.595,-19.186
KIND,0.0,0.0,,0.0,5.872,
MASS,15.776,0.0,4.441,3.492,-52.124,0.0
BNR,9.178,0.0,40.902,-48.892,-46.15,-22.385
SPLK,19.442,-8.854,31.031,-6.928,-16.642,-21.106
DIS,-8.552,6.326,10.456,-10.06,-16.452,27.038
AMCR,7.192,-3.853,-0.802,,-30.415,-2.886
GE,-26.377,-13.115,-36.72,-26.202,34.364,-19.054
GM,-6.493,5.076,25.504,19.815,-9.892,-6.218
HSY,4.469,2.823,-1.813,-7.078,21.12,8.368
OMC,36.139,0.0,24.607,-23.753,-7.601,0.0
NKE,-5.681,5.56,13.568,3.848,1.875,0.0
PH,-31.133,33.791,27.538,-3.815,36.726,0.854
NIU,-26.892,0.0,91.798,2.278,41.13,0.0
QS,66.123,0.0,23.92,58.825,-62.512,12.778
RMO,26.158,0.0,-84.771,,-29.616,0.0
FSR,-42.345,0.0,38.589,,-35.731,1.433
NET,-34.005,0.0,-27.397,-48.019,65.779,0.0
OMIC,7.212,0.0,9.319,-13.816,-19.353,0.0
GDYN,-44.353,-33.233,33.759,,11.209,0.0
WISH,65.872,0.0,1.545,31.399,-44.814,-25.173
CLOV,-27.476,1.085,-75.359,23.502,-57.633,0.0
ARVL,-80.07,3.554,101.362,,119.428,0.0
PSFE,18.999,0.0,20.723,,-18.038,0.0
AFRM,2.513,0.0,-18.926,9.544,13.062,15.962
FSLY,-2.391,0.0,-39.226,15.223,-14.246,-16.575
BBIG,74.255,0.0,-15.849,,96.656,-5.447
FUBO,-69.176,7.227,-45.161,,36.321,-7.717
FTCH,-100.218,1.924,10.878,-58.438,34.382,0.0
MTTR,45.02,0.0,2.502,-11.29,-16.039,9.858
GENI,0.392,0.0,11.774,,-34.144,0.0
DNA,1.256,0.0,10.785,24.586,-16.995,0.0
OPAD,6.823,0.0,13.12,14.854,39.725,-31.944
OPEN,-13.878,0.0,-6.79,-17.81,9.782,0.0
STEM,-74.749,0.0,-32.304,,-1.882,-7.36
RDFN,5.792,0.0,59.48,31.562,6.796,0.0
REAL,-67.601,0.0,-27.046,-10.787,72.54,-7.674
GRPN,-62.729,0.0,-99.76,30.77,-12.462,2.538
SOFI,22.188,0.0,24.972,-84.975,-14.157,-24.276
PTRA,8.031,0.0,12.339,-5.458,10.876,0.0
CAR,-29.607,0.0,95.246,-16.232,64.205,0.0
CHWY,16.181,25.61,-12.728,10.206,-44.984,1.929
